	id	priceLabel	name	brandId	brandName	colorId	colorFamily	colorNamed
0	522583222	3870.0	TOM FORD Windsor Base Peak-Lapel Irregular-Check Suit, Charcoal	2130	Tom Ford	14	Gray	CHARCOAL
1	519099045	5470.0	TOM FORD Buckley-Base Mesh-Print Tuxedo Jacket, Green/Black	2130	Tom Ford	16	Black	GREEN/BLACK
2	530619280	215.0	Thom Browne Navy & Tricolor Striped Classic Tie	25337	Thom Browne			
3	522583190	5330.0	TOM FORD O'Connor Base Peak-Lapel Two-Piece Wool/Silk Reps Suit, Blue	2130	Tom Ford	10	Blue	BLUE
4	530618912	190.0	Thom Browne Navy Silk Tennis Tie	25337	Thom Browne			
5	515771530	2150.0	Stefano Ricci Crystal Floral-Print Silk Tie, Black	3297	Stefano Ricci	16	Black	BLACK
6	510549889	300.0	Fendi Black Monster Eyes Tie	1171	Fendi			
7	500601158	385.0	Ermenegildo Zegna Paisley-Medallion Printed Silk Tie	1139	Ermenegildo Zegna	1	Brown	BROWN
8	515770955	915.0	Stefano Ricci Jacquard Floral-Print Silk Tie, Black	3297	Stefano Ricci	16	Black	BLACK
9	524898324	230.0	Valentino Navy Silk Constellations Tie	2188	Valentino			
10	476390748	395.0	Stefano Ricci Crystal-Embellished Silk Tie, Black	3297	Stefano Ricci	16	Black	BLACK
11	505854798	550.0	Fendi Karlito Tie with Mink Fur, Black/Gray	1171	Fendi	14	Gray	GREY
12	511315812	245.0	Ermenegildo Zegna Striped Silk Tie, Navy	1139	Ermenegildo Zegna	10	Blue	NAVY
13	534141482	200.0	Fendi Black Silk Monster Tie	1171	Fendi			
14	530618893	190.0	Thom Browne Grey Classic Wool Tie	25337	Thom Browne			
15	530619267	195.0	Thom Browne Navy Striped Hector Tie	25337	Thom Browne			
16	527918748	190.0	Thom Browne Grey Classic Mr. Thom Tie	25337	Thom Browne			
17	521362887	195.0	Ermenegildo Zegna Textured Grand Striped Silk Tie, Blue	1139	Ermenegildo Zegna	10	Blue	BLUE
18	527626631	1995.0	Brunello Cucinelli Donegal Three-Button Cardigan Jacket, Anthracite	8296	Brunello Cucinelli	14	Gray	Anthracite
19	504902111	275.0	Stefano Ricci Neat Patterned Silk Tie	3297	Stefano Ricci	14	Gray	DARK GRAY
20	527918701	190.0	Thom Browne Navy Classic Hector Tie	25337	Thom Browne			
21	521191401	225.0	Brunello Cucinelli Wool Tie, Medium Gray	8296	Brunello Cucinelli	14	Gray	MEDIUM GRAY
22	452870140	250.0	Stefano Ricci Floral Medallion Pattern Silk Tie, Red	3297	Stefano Ricci	7	Red	RED
23	465746859	145.0	Ermenegildo Zegna Pre-Tied Satin Bow Tie, Black	1139	Ermenegildo Zegna	16	Black	BLACK
24	516482174	250.0	Stefano Ricci Neat Printed Silk Tie	3297	Stefano Ricci	3	Orange	ORANGE
25	497056368	275.0	Stefano Ricci Paisley-Print Silk Tie	3297	Stefano Ricci	7	Red	BLUE/RED
26	505373187	250.0	Stefano Ricci Neat Floral-Patterned Silk Tie	3297	Stefano Ricci	4	Yellow	YELLOW
27	532972466	155.0	Canali Micro-Print Woven Silk Tie, Light Blue	891	Canali	10	Blue	LIGHT BLUE
28	500600464	205.0	Ermenegildo Zegna Paisley-Print Silk Tie, Light Blue	1139	Ermenegildo Zegna	10	Blue	LIGHT BLUE
29	523569358	165.0	Armani Collezioni 3D Box-Print Silk Tie, Blue/Light Blue	747	Armani Collezioni	10	Blue	BLUE/LIGHT BLUE
30	475761347	250.0	Stefano Ricci Solid Satin Bow Tie, Black	3297	Stefano Ricci	16	Black	BLK
31	537140587	125.0	Boss Hugo Boss Melange Wool-Blend Tie, Burgundy	0		7	Red	BURGUNDY
32	507086590	195.0	Ermenegildo Zegna Neat Basketweave Silk Tie	1139	Ermenegildo Zegna	10	Blue	NAVY
33	521013271	230.0	Brioni Open-Weave Plaid Silk Tie	859	Brioni	8	Purple	PURPLE
34	522583215	250.0	TOM FORD Striped Houndstooth Silk Tie	2130	Tom Ford	10	Blue	AQUA
35	533835565	110.0	Maison Kitsuné Grey Wool Flannel Tie	31988	MAISON KITSUNÉ			
36	534141346	200.0	Fendi Black Silk Lamp Tie	1171	Fendi			
37	532427301	85.0	Kenzo Black Eye Print Tie	2498	Kenzo			
38	530619230	190.0	Thom Browne Grey Classic Wool Tie	25337	Thom Browne			
39	530619304	190.0	Thom Browne Grey Hairline Overcheck Tie	25337	Thom Browne			
40	527918756	190.0	Thom Browne Grey Classic Longwing Tie	25337	Thom Browne			
41	501528113	190.0	Salvatore Ferragamo Octopus-Print Silk Tie, Turquoise	1948	Salvatore Ferragamo	10	Blue	TURQUOISE
42	512417495	200.0	Fendi Monster Eyes Bow Tie, Black	1171	Fendi	16	Black	BLACK
43	500600583	190.0	Burberry Classic Check Silk Tie, Taupe	870	Burberry	1	Brown	TAUPE
44	444072220	460.0	Stefano Ricci Silk Tie & Pocket Square Set, Red/Blue	3297	Stefano Ricci	7	Red	RED/BLUE
45	515771904	195.0	Ermenegildo Zegna Textured Stripe Silk Tie	1139	Ermenegildo Zegna	10	Blue	BLUE
46	522374540	190.0	Thom Browne Textured Knit Silk Tie, Dark Gray	25337	Thom Browne	14	Gray	DARK GRAY
47	531945469	195.0	Ermenegildo Zegna Deco Circles Woven Silk Tie, Purple	1139	Ermenegildo Zegna	8	Purple	PURPLE
48	527843913	285.0	Ermenegildo Zegna Quindici Geometric Circle Tie, Blue	1139	Ermenegildo Zegna	10	Blue	BLUE
49	503692095	205.0	Ermenegildo Zegna Basketweave Paisley-Print Silk Tie, Purple	1139	Ermenegildo Zegna	8	Purple	PURPLE
50	501870768	275.0	Stefano Ricci Paisley-Print Silk Tie	3297	Stefano Ricci	10	Blue	BLUE
51	489058199	245.0	Charvet Square-Print Silk Tie, Purple/Pink	949	Charvet	17	Pink	PURPLE/PINK
52	527626633	595.0	Brunello Cucinelli Slim-Fit Denim Jeans, Dark Blue	8296	Brunello Cucinelli	10	Blue	DARK BLUE
53	503692099	250.0	Stefano Ricci Neat Square-Dot Patterned Silk Tie	3297	Stefano Ricci	3	Orange	ORANGE
54	532975127	230.0	Brioni Micro-Neat Woven Silk Tie	859	Brioni	10	Blue	BLUE
55	534141376	200.0	Fendi Black Silk Monster Eyes Tie	1171	Fendi			
56	535995910	190.0	Thom Browne Multicolor Wool & Silk Classic Tie	25337	Thom Browne			
57	536244199	150.0	Paul Smith Black Camera Tie	1795	Paul Smith			
58	524050739	165.0	Alexander McQueen Black Polka Dot & Skull Tie	689	Alexander McQueen			
59	524054215	165.0	Alexander McQueen Black Camo Skull Tie	689	Alexander McQueen			
60	524898311	220.0	Valentino Black Silk Camo Tie	2188	Valentino			
61	526319232	140.0	Neil Barrett Black Single Thunderbolt Tie	7860	Neil Barrett			
62	527708710	370.0	Dior Homme Black 'Black Tie' 216 Glasses	957	Christian Dior			
63	527918714	190.0	Thom Browne Navy Wool Classic Tie	25337	Thom Browne			
64	529260828	229.0	Givenchy Black Cobra Tie	1227	Givenchy			
65	534302123	165.0	Alexander McQueen Black Silk Moth Tie	689	Alexander McQueen			
66	534302153	165.0	Alexander McQueen Black Silk Butterfly Tie	689	Alexander McQueen			
67	494822077	215.0	Mimi Fong Peony-Print Silk Tie, Silver	0		19	Silver	SILVER
68	490856207	205.0	Ermenegildo Zegna Box Neat Silk Tie	1139	Ermenegildo Zegna	1	Brown	BROWN
69	505835870	165.0	Alexander McQueen Skull & Pin-Dot Printed Silk Tie, Cream/Black	689	Alexander McQueen	15	White	CREAM/BLACK
70	465747003	230.0	Brioni Solid Silk Satin Tie, Silver	859	Brioni	19	Silver	SILVER
71	496745112	195.0	Alexander McQueen Prince of Wales Skull-Print Silk Tie	689	Alexander McQueen	10	Blue	LACQUER/BLUE
72	465746855	230.0	Brioni Solid Silk Satin Tie, Black	859	Brioni	16	Black	BLACK
73	489911328	245.0	Charvet Striped Silk Tie, Blue/Aqua	949	Charvet	10	Blue	BLUE/AQUA
74	476588491	85.0	Neiman Marcus Textured Solid Bow Tie, Black	1724	Neiman Marcus	16	Black	BLACK
